連番,姓,名,姓（カタカナ）,名（カタカナ）,性別,電話番号,メールアドレス,郵便番号,住所,,,,,生年月日,年齢,血液型,乱数
148,関根,洋晶,セキネ,ヒロアキ,男,0195998959,hiroaki38493@uwdirgdovl.eivq.ub,028-6819,岩手県,二戸市,浄法寺町馬洗場,1-19-13,浄法寺町馬洗場パーク218,1992-11-16,25,B,681
149,笹原,椛,ササハラ,モミジ,女,0195028758,Momiji_Sasahara@kqgleakkt.osj,020-0544,岩手県,岩手郡雫石町,柿木,2-5-10,,1998-10-06,19,A,3161
150,塩見,典子,シオミ,ノリコ,女,0190703274,noriko0190@dnlclikzk.qcl,028-3603,岩手県,紫波郡矢巾町,西徳田,2-17-20,,2011-03-17,7,AB,6350
151,宮原,美穂,ミヤハラ,ミホ,女,0194566460,omiyahara@mkphsrs.ror.ag,023-0822,岩手県,奥州市,水沢区東中通り,2-9-8,,1992-01-22,26,O,5866
152,牧野,千穂,マキノ,チホ,女,019483563,chihomakino@gdefqw.afdh.xv,027-0042,岩手県,宮古市,神田沢町,2-4,,2005-10-04,12,B,1698
153,三浦,義久,ミウラ,ヨシヒサ,男,0194981791,yoshihisa461@prfcxf.xj,026-0045,岩手県,釜石市,小川町,4-17-4,,2000-06-05,18,A,151
154,澤田,政幸,サワダ,マサユキ,男,0194646461,masayuki9804@hmadb.mf,029-4205,岩手県,奥州市,前沢区六本松,2-1-12,,2015-03-28,3,B,4705
155,植田,正次,ウエダ,ショウジ,男,0191844765,shouji_ueda@zthwrda.hdo,027-0092,岩手県,宮古市,愛宕,4-5-7,愛宕アパート419,2005-09-07,12,B,8210
156,勝田,孝子,カツタ,タカコ,女,0191090259,takako_katsuta@soccwxuyl.bt.kp,020-0553,岩手県,岩手郡雫石町,下曽根田,1-5-14,,2013-04-20,5,A,3259
157,岩沢,三雄,イワサワ,ミツオ,男,0192832541,mitsuo81705@gtxy.sau,021-0812,岩手県,一関市,樋渡,4-9,,2002-12-09,15,O,1427
158,松元,正敏,マツモト,マサトシ,男,0195117206,mwsssiq-ohsnymasatoshi815@urfigrqr.gvz,027-0387,岩手県,宮古市,田老畑,2-20-19,,2009-07-05,8,A,8338
159,永島,唯菜,ナガシマ,ユイナ,女,0198902518,yuina69287@rexvrrf.tf.bra,029-4362,岩手県,奥州市,衣川区小林山,1-11,パレス衣川区小林山410,1989-06-05,29,A,1207
160,飯塚,美幸,イイヅカ,ミユキ,女,0190410479,iiizuka@yyyvhbeapt.gyq.ld,029-4205,岩手県,奥州市,前沢区沼ノ沢,4-8,,1998-06-16,19,B,7729
161,喜多,英光,キタ,ヒデミツ,男,0195582830,hidemitsu14004@wwpg.fgu,029-4206,岩手県,奥州市,前沢区太郎ケ沢,3-8-12,ロイヤル前沢区太郎ケ沢413,2015-01-18,3,AB,2798
162,竹中,智子,タケナカ,トモコ,女,019259293,otakenaka@gidfmywhqm.lwj,028-2101,岩手県,宮古市,茂市,1-3-7,,2008-04-12,10,B,817
163,竹村,威雄,タケムラ,タケオ,男,0195667837,takeo2474@ekfnifscs.yef,028-6841,岩手県,二戸市,浄法寺町松岡,1-9-19,,1992-05-03,26,O,4053
164,横山,佳歩,ヨコヤマ,カホ,女,0190272823,kaho8507@qshkyjtpgr.wt,025-0252,岩手県,花巻市,鉛,3-20-11,,2003-07-16,14,A,7182
165,立石,明仁,タテイシ,アキヒト,男,0192735133,Akihito_Tateishi@rwxrjf.cmd,028-6862,岩手県,二戸市,浄法寺町寺ノ上,2-16-12,,2014-09-18,3,O,7986
166,大沢,翔子,オオサワ,ショウコ,女,0196173657,shouko1352@refqh.puha.qa,023-0873,岩手県,奥州市,水沢区笹森谷地,4-16-20,,2004-04-26,14,B,8608
167,栗本,麻理,クリモト,マリ,女,0192687075,mari5288@rhift.ggi,029-4324,岩手県,奥州市,衣川区正板,1-4-1,,2008-04-07,10,O,5710
168,澤田,公子,サワダ,キミコ,女,0195999013,kimiko_sawada@ayjlb.ngwxn.mos,028-6965,岩手県,二戸市,浄法寺町谷地屋敷,1-17-5,浄法寺町谷地屋敷メゾン305,2002-06-28,15,A,18
169,広川,富夫,ヒロカワ,トミオ,男,0199159885,tomio9430@ztmbbiva.vn,028-8404,岩手県,下閉伊郡田野畑村,松前沢,2-4-12,,2002-09-15,15,A,96
170,赤塚,遥華,アカツカ,ハルカ,女,0193995190,haruka02572@hjynf.zfv,023-0026,岩手県,奥州市,水沢区里鎗,2-9-11,,1998-09-17,19,A,5407
171,園田,菜那,ソノダ,ナナ,女,0199636501,nana7780@wlpecj.ik.dis,029-4206,岩手県,奥州市,前沢区陣場,1-11,前沢区陣場ランド310,1993-07-04,24,O,2583
172,稲田,楓花,イナダ,フウカ,女,0192373703,fuuka6010@xbfie.rn,025-0089,岩手県,花巻市,豊沢町,3-14,豊沢町プラザ405,2010-06-19,7,O,3945
173,高山,勝久,タカヤマ,カツヒサ,男,0196641571,wisrzs=fdkatsuhisa4281@toegzooqvb.uhz,028-0661,岩手県,遠野市,附馬牛町上附馬牛,4-2,,1994-08-09,23,A,3817
174,神保,百華,ジンボ,モモカ,女,0192956302,momokajimbo@ttpx.uxl,028-8202,岩手県,九戸郡野田村,玉川,1-5-4,玉川の杜318,2011-06-02,7,A,7541
175,坪井,康夫,ツボイ,ヤスオ,男,0191780325,yasuo892@alyjstnzdc.nf,023-0102,岩手県,奥州市,水沢区羽田町駅東,3-19,,2004-05-29,14,O,8737
176,迫田,兼吉,サコタ,カネキチ,男,0198177284,kanekichi96035@uwieyxx.awx,026-0003,岩手県,釜石市,嬉石町,4-20-3,スイート嬉石町319,2011-11-13,6,A,261
177,加納,良二,カノウ,リョウジ,男,0199534294,ryouji30970@awng.qr.ny,028-7551,岩手県,八幡平市,新田,3-3-18,,2000-06-09,18,B,4331
178,野中,雪乃,ノナカ,ユキノ,女,0191908284,Yukino_Nonaka@ftqdysgmz.huog.lf,026-0034,岩手県,釜石市,中妻町,3-18-19,,2008-04-24,10,O,2535
179,石崎,五月,イシザキ,サツキ,女,0192229644,satsuki480@ggfpkugpmm.mri,027-0383,岩手県,宮古市,田老上摂待,4-3-16,,2008-05-27,10,A,1640
180,砂川,雅江,サガワ,マサエ,女,0195894689,esagawa@kyozdagejw.hlz,028-6883,岩手県,二戸市,浄法寺町荒谷,3-8,,1998-02-28,20,B,2030
181,棚橋,雄大,タナハシ,ユダイ,男,0198870762,yudai44478@usxrfh.mb,028-8401,岩手県,下閉伊郡田野畑村,長根,3-5-1,,2012-03-23,6,O,6474
182,毛利,早苗,モウリ,サナエ,女,0194779368,sanae14596@xfjlyhkav.dgk,026-0042,岩手県,釜石市,源太沢町,1-1-7,ステージ源太沢町112,1990-09-24,27,O,5845
183,比嘉,裕二,ヒガ,ユウジ,男,0191778041,z-=perwoxagryuuji1334@cthvkp.uds.ikj,027-0323,岩手県,宮古市,田老野原,3-20-3,キャッスル田老野原119,2017-09-13,0,O,9685
184,高沢,浩次,タカザワ,コウジ,男,0193407810,Kouji_Takazawa@jyoldxr.vml,028-6816,岩手県,二戸市,浄法寺町上谷地,3-19-5,ドリーム浄法寺町上谷地314,1992-06-05,26,B,2608
185,風間,日奈,カザマ,ヒナ,女,0192072284,ucttuayfxphina750@vdiavbwjn.pb,020-0537,岩手県,岩手郡雫石町,上町西,3-1-10,上町西コンフォート312,1991-06-19,26,A,6916
186,川合,武裕,カワイ,タケヒロ,男,0198150523,okawai@qmdijjk.pbj,023-0853,岩手県,奥州市,水沢区東上野町,4-13-14,,2008-10-28,9,O,3817
187,谷川,信生,タニガワ,ノブオ,男,019546747,nobuo409@pgsu.omj,028-6929,岩手県,二戸市,浄法寺町大清水空久保,2-5,,2015-09-14,2,O,8055
188,高木,友里,タカギ,ユリ,女,0195402778,yuri_takagi@oufopsdpck.tgyy.hy,029-4205,岩手県,奥州市,前沢区川内,1-7-3,ザ前沢区川内411,2006-01-06,12,A,44
189,前野,百花,マエノ,モモカ,女,0192612010,amaeno@ztdcc.ggv.vn,029-4402,岩手県,奥州市,衣川区星屋,3-3-14,,2002-11-13,15,B,4693
190,庄司,美琴,ショウジ,ミコト,女,0193986582,mikotoshouji@oowc.pc,028-6835,岩手県,二戸市,浄法寺町漆沢下モ前田,2-19-9,ハウス浄法寺町漆沢下モ前田215,2008-05-29,10,O,5672
191,熊谷,真由子,クマガヤ,マユコ,女,0192140634,faxskjz-qummayuko327@uvnklimim.pm,028-0103,岩手県,花巻市,東和町石鳩岡,3-8-3,,1999-04-08,19,B,1269
192,川上,陸,カワカミ,リク,男,0198004453,riku2332@bwagvtl.vdo,020-0041,岩手県,盛岡市,境田町,4-3-11,,2013-08-18,4,A,9815
193,山村,好一,ヤマムラ,ヨシカズ,男,019775130,yoshikazu511@ryyfvnedw.pv,028-6954,岩手県,二戸市,浄法寺町早坂,2-2-19,浄法寺町早坂ロイヤル419,2016-10-25,1,O,6748
194,関谷,治男,セキヤ,ハルオ,男,0198882797,haruo436@njkm.tcn.vp,028-6301,岩手県,九戸郡軽米町,上舘,4-6,,1994-07-13,23,B,7394
195,深沢,忠雄,フカザワ,タダオ,男,0198145474,ofukazawa@kofl.ms,020-0828,岩手県,盛岡市,大慈寺町,2-8-18,,2013-02-01,5,A,6959
196,長谷,麻子,ナガヤ,マコ,女,0192602205,mako38520@vbpbc.izn.fyl,028-6918,岩手県,二戸市,浄法寺町サイカツ平,4-20-20,,2008-07-02,9,O,2205
197,梶田,敏昭,カジタ,トシアキ,男,0198686034,toshiaki3348@pmjhveu.vje,025-0304,岩手県,花巻市,湯本,2-14,湯本テラス409,2005-01-06,13,A,9394
198,碓井,安弘,ウスイ,ヤスヒロ,男,0193098250,yasuhiro22510@wtrcwtac.zds,029-4445,岩手県,奥州市,衣川区七日市場,1-18,,2000-05-29,18,A,5577
199,伴,勇三,バン,ユウゾウ,男,0192532955,yuuzou_ban@ywqxudfuxg.fr,028-6914,岩手県,二戸市,浄法寺町和泉田,2-3-15,,2005-10-03,12,O,899
200,松下,勇吉,マツシタ,ユウキチ,男,0195145952,sjkstnlvyuukichi8989@pcxhswtdq.xyf,021-0853,岩手県,一関市,相去,1-7,,1995-08-02,22,A,4982
201,大浦,清太郎,オオウラ,セイタロウ,男,0198285925,ri-w-xxseitarou355@juxwbxtvmt.gqn,023-0023,岩手県,奥州市,水沢区八反町,2-7-5,,1995-08-14,22,B,9247
202,大澤,良之,オオサワ,ヨシユキ,男,0195392886,amywsz==yoshiyuki30007@zwdfayfe.abc,026-0034,岩手県,釜石市,中妻町,4-2,,1994-01-09,24,O,9122
203,福井,花梨,フクイ,カリン,女,0194468177,karin322@xcpqeimgeu.dmg,028-0116,岩手県,花巻市,東和町北成島,2-5-17,東和町北成島ステージ109,1990-10-15,27,A,2418
204,戸田,公雄,トダ,キミオ,男,0195813154,ciwqptcpkimio4291@aqtvq.ri,029-2205,岩手県,陸前高田市,高田町,4-10,高田町ガーデン402,2012-05-14,6,A,530
205,村上,恵美,ムラカミ,エミ,女,0198530445,emi2154@xnaqfogufp.dfv,026-0055,岩手県,釜石市,甲子町,2-7,,1995-06-19,22,A,9358
206,垣内,康博,カキウチ,ヤスヒロ,男,0191816663,kfalrnaqqtobyiyasuhiro803@fcirtfn.id,028-8351,岩手県,下閉伊郡普代村,下村,1-9-17,コンフォート下村216,1994-12-18,23,AB,1393
207,川村,麻美,カワムラ,アサミ,女,0193906856,uaaibia-asami997@ainklws.yks,029-4208,岩手県,奥州市,前沢区粟ケ島,3-13-16,,2011-06-05,7,O,6432
208,奥田,玲菜,オクダ,レナ,女,0191669824,fxdj=hxlqo=rena86115@tbblhv.et.ulm,028-3603,岩手県,紫波郡矢巾町,西徳田,2-17-17,西徳田レジデンス209,2016-12-21,1,O,9156
209,米山,晴夫,コメヤマ,ハルオ,男,0199274668,Haruo_Komeyama@wczzzgmu.grf,027-0062,岩手県,宮古市,泉町,4-18-3,,2017-01-30,1,A,4178
210,大澤,美愛,オオサワ,ミア,女,0195274297,miaoosawa@bnpmqdgi.pxz,023-0876,岩手県,奥州市,水沢区鶴淵,1-8,水沢区鶴淵ランド210,2009-01-26,9,A,7796
211,岸田,文乃,キシダ,アヤノ,女,0195529239,ayano1031@eevzhvqipa.ru,027-0611,岩手県,下閉伊郡岩泉町,安家,2-7-17,,1988-07-30,29,O,4182
212,福永,佳穂,フクナガ,カホ,女,0192507291,kgos=sxr-zcuokaho433@gvfodznfm.fjb,020-0842,岩手県,盛岡市,湯沢,2-19,,2011-12-21,6,O,3495
213,山下,愛梨,ヤマシタ,アイリ,女,0195208752,aekkkzuiqrsairi2054@rbgdtkvs.pq,028-6101,岩手県,二戸市,福岡,4-1,レジデンス福岡207,2000-04-16,18,A,255
214,江原,光,エバラ,アキラ,男,0196743706,aebara@qottaooaow.st.chg,029-4424,岩手県,奥州市,衣川区九輪堂,2-14-1,,2003-01-05,15,O,9024
215,山口,芳久,ヤマグチ,ヨシヒサ,男,0191411794,bkslxwhcvhaldyoshihisa13186@fdvcfw.ozbp.hb,028-7506,岩手県,八幡平市,安代寺田,3-7,,1995-10-10,22,A,8377
216,吉崎,喜市,ヨシザキ,キイチ,男,0194904454,kiichi243@mmlvetk.vwh,028-0122,岩手県,花巻市,東和町谷内,4-2,,2006-10-23,11,A,4731
217,保田,紀夫,ヤスダ,ノリオ,男,0193049274,norio33774@nmcipd.yqp,028-3612,岩手県,紫波郡矢巾町,下矢次,4-20,,2000-07-04,17,B,2221
218,鶴岡,一平,ツルオカ,イッペイ,男,0190157217,ippei_tsuruoka@sfdkym.geo.sq,028-6838,岩手県,二戸市,浄法寺町向田,3-6-5,,2004-10-22,13,A,6715
219,榎本,利恵,エノモト,リエ,女,0191485710,gypvxevangbawxerie901@moiushd.nu,028-1351,岩手県,下閉伊郡山田町,長崎,2-5,長崎アパート210,2016-12-15,1,A,2520
220,林田,麻子,ハヤシダ,マコ,女,019557590,Mako_Hayashida@dwgvtz.ou,029-4497,岩手県,奥州市,衣川区餅転,4-6-2,,2001-01-28,17,B,5555
221,小菅,岩生,コスゲ,イワオ,男,0197515416,jvfsiaa=vnkjaiwao186@fonzzka.fdr,028-5306,岩手県,二戸郡一戸町,中里,2-8-2,,1994-04-02,24,O,7210
222,伊藤,雅,イトウ,ミヤビ,女,0192097891,miyabi0520@wfqujijbyh.eo,020-0505,岩手県,岩手郡雫石町,中黒沢川,1-11,,1996-12-08,21,A,2395
223,倉田,千裕,クラタ,チヒロ,女,0195421146,atqqvehdl=chihiro7534@fjvd.se.oz,028-0772,岩手県,遠野市,上郷町細越,2-5-8,,2014-09-27,3,O,6294
224,北山,響子,キタヤマ,キョウコ,女,0191828132,kyouko6068@mlchaj.tgm,028-6953,岩手県,二戸市,浄法寺町木沢畑向,2-6,,1995-07-20,22,O,9164
225,新田,忠義,ニッタ,タダヨシ,男,0190724447,tadayoshi53155@ksqzg.klx,020-0584,岩手県,岩手郡雫石町,西根,3-7,西根ランド410,1999-07-27,18,A,1940
226,嶋田,雅春,シマダ,マサハル,男,0199922430,Masaharu_Shimada@wjoepz.fsz,028-8401,岩手県,下閉伊郡田野畑村,三沢,3-8,,1995-02-14,23,A,8116
227,岡崎,鉄男,オカザキ,テツオ,男,0196550310,tetsuookazaki@mtxdnspt.dxllw.tm,028-1132,岩手県,上閉伊郡大槌町,大ケ口,1-5,大ケ口タウン215,2014-02-27,4,O,5163
228,大森,正則,オオモリ,マサノリ,男,0191986952,masanorioomori@xywjpymyae.fxg,028-0155,岩手県,花巻市,東和町南成島,4-7,東和町南成島コーポ311,1998-10-31,19,O,1236
229,中澤,千尋,ナカザワ,チヒロ,女,019113033,Chihiro_Nakazawa@qdcdcgpndr.rn,022-0007,岩手県,大船渡市,赤崎町,1-1,,2000-05-27,18,A,94
230,島田,広吉,シマダ,ヒロキチ,男,0196805325,ishimada@bttbuxja.pee,025-0045,岩手県,花巻市,西晴山,3-3-5,西晴山コンフォート217,1991-05-09,27,B,962
231,長沼,雛,ナガヌマ,ヒナ,女,0193630134,hina_naganuma@uxvxetegn.jd,028-6851,岩手県,二戸市,浄法寺町小池,4-20,,1988-08-27,29,O,1404
232,松尾,未羽,マツオ,ミウ,女,0196586214,miu5416@ayloxdwy.xd,023-0862,岩手県,奥州市,水沢区福吉町,2-18-20,ハイツ水沢区福吉町208,1993-12-14,24,A,5265
233,清水,文夫,キヨミズ,フミオ,男,0197385721,fumio78475@cavnetvh.iv,023-0035,岩手県,奥州市,水沢区赤土田,3-17-6,水沢区赤土田ロイヤルパレス210,2006-05-20,12,O,3256
234,菅原,麻央,スガハラ,マオ,女,0191089518,mao79508@uxie.opaao.fi,027-0053,岩手県,宮古市,長町,4-6-18,,2007-01-25,11,AB,6375
235,川嶋,美雪,カワシマ,ミユキ,女,0198067670,rkyxvdvremiyuki306@zgrykdeufy.ttwne.vrt,024-0044,岩手県,北上市,平沢,2-11-9,,2007-09-15,10,A,8196
236,角田,日向,カクタ,ヒナタ,女,0197550242,hinatakakuta@vygl.gmfb.na,023-0001,岩手県,奥州市,水沢区卸町,2-13-1,,2001-06-04,17,A,7056
237,吉川,隆二,ヨシカワ,リュウジ,男,0194862083,iyoshikawa@pctdeo.rsf,023-0171,岩手県,奥州市,江刺区田原,4-8-15,江刺区田原シーサイド407,1997-02-12,21,O,5716
238,笹原,栄伸,ササハラ,ヨシノブ,男,0192915736,usasahara@rrsdbzjfoz.rvp,029-4407,岩手県,奥州市,衣川区金成,3-9-9,,2003-05-10,15,B,1061
239,大沼,美結,オオヌマ,ミユ,女,0196801681,Miyu_Oonuma@fzyeryxv.lane.hdh,028-5222,岩手県,二戸郡一戸町,姉帯,2-6-6,ステーション姉帯316,1989-11-26,28,A,8567
240,片桐,菜々子,カタギリ,ナナコ,女,0191551138,okatagiri@pukejgo.yi.lyf,020-0837,岩手県,盛岡市,津志田町,2-16,,1999-07-29,18,O,5536
241,池田,栄吉,イケダ,エイキチ,男,0195275830,eikichi_ikeda@filnuyhq.yf,028-5301,岩手県,二戸郡一戸町,西法寺,2-13-1,西法寺ヴィレッジ400,1993-07-03,24,A,9773
242,志賀,一葉,シガ,カズハ,女,019583654,Kazuha_Shiga@zyixt.owfm.cqv,024-0021,岩手県,北上市,上野町,1-9-16,,2002-08-26,15,A,8663
243,今井,亜希,イマイ,アキ,女,0198282913,aki30547@ysnnwn.vda,028-1115,岩手県,上閉伊郡大槌町,上町,1-11-2,上町パーク419,2014-09-06,3,O,8777
244,持田,風花,モチダ,フウカ,女,0197679055,fuuka65104@fzaxluet.bnc,028-2633,岩手県,下閉伊郡川井村,平津戸,4-19-17,平津戸マンション214,2015-06-02,3,O,2532
245,金井,理桜,カネイ,リオ,女,0194583562,riokanei@phyl.hxk,027-0313,岩手県,宮古市,田老駿達,2-8-4,パーク田老駿達314,2004-07-30,13,O,2542
246,小俣,美紀子,オマタ,ミキコ,女,0194329025,oomata@pkwnwn.jwc,029-4208,岩手県,奥州市,前沢区立石,3-5-4,前沢区立石アパート303,1989-06-25,28,A,7511
247,荻原,文夫,オギワラ,フミオ,男,0195643336,fumio0136@bdwuwufq.sz,021-0011,岩手県,一関市,山目町,4-15-5,,1996-05-05,22,A,5193
248,野崎,峰雄,ノザキ,ミネオ,男,0197623171,mineo_nozaki@gpkz.veu,020-0873,岩手県,盛岡市,松尾町,3-14,松尾町シティ217,2016-10-26,1,A,5486
249,磯部,愛奈,イソベ,アイナ,女,0192317908,oapzjdqnspaina1430@wcvvfs.roi,028-5712,岩手県,二戸市,野々上,3-13-17,,2013-09-21,4,A,6585
250,安川,晴久,ヤスカワ,ハルヒサ,男,0197732891,oiqmcqspharuhisa5358@bvifodk.xb,024-0034,岩手県,北上市,諏訪町,3-10,,2012-08-31,5,A,8802
251,村山,若奈,ムラヤマ,ワカナ,女,0194718017,amurayama@wpgtbmhx.opq,029-4376,岩手県,奥州市,衣川区本巻,3-2,衣川区本巻ランド211,1999-10-02,18,A,1076
252,成田,芳夫,ナリタ,ヨシオ,男,0191693130,onarita@eujjxpeuzn.xd,026-0003,岩手県,釜石市,嬉石町,1-16-8,嬉石町アパート208,2006-09-14,11,O,2083
253,棚橋,政治,タナハシ,マサジ,男,0195136355,masaji3507@xivfhcmo.wja,027-0508,岩手県,下閉伊郡岩泉町,尼額,1-5,プラザ尼額417,1990-08-28,27,A,6056
254,根本,信行,ネモト,ノブユキ,男,0191940496,nobuyukinemoto@zcxromaytd.ze,029-2202,岩手県,陸前高田市,横田町,4-18-3,,2001-03-29,17,O,1158
255,氏家,遙,ウジイエ,ハルカ,女,0193590302,harukaujiie@iztietibn.mrsnl.rla,028-6912,岩手県,二戸市,浄法寺町中前田,3-14-14,,2016-06-13,2,A,362
256,住田,総一朗,スミダ,ソウイチロウ,男,0194402369,Souichirou_Sumida@byjpetnnju.rqlu.bpx,028-8407,岩手県,下閉伊郡田野畑村,和野,2-1,和野グリーン401,2016-07-07,1,O,6083
257,金子,弘恭,カネコ,ヒロユキ,男,019380179,ikaneko@ackknvg.giac.yl,029-0131,岩手県,一関市,狐禅寺,2-6-7,狐禅寺プラチナ306,2017-01-04,1,AB,9000
258,臼井,勝男,ウスイ,カツオ,男,0190358369,katsuo73164@tbhqcwxsgw.fuqys.trc,028-3301,岩手県,紫波郡紫波町,中島,4-8-20,中島タウン313,1994-08-28,23,A,3180
259,西原,武雄,ニシハラ,タケオ,男,0191177192,takeo46261@rhjxhktbou.ohz,028-7678,岩手県,八幡平市,小森,4-5-12,,2006-03-05,12,A,2108
260,大熊,聖,オオクマ,ヒジリ,女,0193677213,hijiriookuma@vlsfxajc.jf,028-7654,岩手県,八幡平市,小峠,2-9-5,,1999-04-19,19,A,3612
261,大和,浩之,ダイワ,ヒロユキ,男,0196864494,hiroyuki56919@uwcprnoeoa.hqj,028-7511,岩手県,八幡平市,下の田,2-20-11,,1999-07-10,18,O,2693
262,増山,真理雄,マスヤマ,マリオ,男,019462326,omasuyama@ownkyojvv.bh,029-4342,岩手県,奥州市,衣川区高保呂,2-6-10,ステージ衣川区高保呂214,2010-08-21,7,O,8152
263,花田,里歩,ハナダ,リホ,女,0199514304,ohanada@bnnztwpkv.kls,027-0077,岩手県,宮古市,舘合町,3-18-10,,2004-10-19,13,O,4488
264,阪本,哲,サカモト,サトシ,男,0195213104,Satoshi_Sakamoto@voiu.ne,028-4124,岩手県,盛岡市,玉山区馬場,2-18-15,玉山区馬場アパート416,1998-10-28,19,A,9904
265,安永,正一郎,ヤスナガ,ショウイチロウ,男,0199599639,Shouichirou_Yasunaga@liww.gy.lit,025-0005,岩手県,花巻市,田力,4-14,田力フォレスト208,2009-06-26,8,A,5428
266,栗本,大輔,クリモト,ダイスケ,男,0197414472,daisuke78156@ztbirz.dr,029-4329,岩手県,奥州市,衣川区上寺田,2-13,衣川区上寺田グランド408,1990-09-07,27,A,15
267,長崎,朋香,ナガサキ,トモカ,女,0195482243,tomoka673@fyvgvxsos.sbb,028-3203,岩手県,花巻市,大迫町大迫,4-8,,2008-09-23,9,A,2808
268,杉浦,雅樹,スギウラ,マサキ,男,0192317526,masaki608@hrhswpqg.pwo,028-3601,岩手県,紫波郡矢巾町,高田,1-12-17,,1992-12-31,25,B,9982
269,黒木,太郎,クロキ,タロウ,男,0194518089,taroukuroki@nvncrot.qrzb.bj,020-0108,岩手県,盛岡市,東黒石野,4-16-20,ダイヤモンド東黒石野313,1997-04-05,21,B,6915
270,三上,善太郎,ミカミ,ゼンタロウ,男,0199621229,umikami@ncesixtixs.nyfi.dc,027-0047,岩手県,宮古市,根市,3-17-2,,1994-05-09,24,A,9306
271,星野,文乃,ホシノ,アヤノ,女,0197630123,Ayano_Hoshino@rgoxnozo.jtr,025-0068,岩手県,花巻市,下幅,3-10-16,,2003-06-02,15,O,5674
272,天野,美香,アマノ,ミカ,女,019109682,mika49274@cqnlnkaxh.qo,027-0383,岩手県,宮古市,田老上摂待,4-12,,2004-05-25,14,A,7378
273,大西,隆司,オオニシ,タカシ,男,0197248430,takashi1681@neadnji.own,020-0874,岩手県,盛岡市,南大通,3-11-17,,1998-12-15,19,A,43
274,小堀,一寿,コボリ,カズヒサ,男,0195914450,Kazuhisa_Kobori@iyxeh.mxcj.qc,027-0304,岩手県,宮古市,田老ケラス,3-20-6,,2015-01-08,3,B,2955
275,平尾,玲子,ヒラオ,レイコ,女,0191869071,reiko_hirao@vfqpzdf.utrw.qum,027-0058,岩手県,宮古市,千徳,1-4-4,,1997-05-19,21,B,4741
276,和田,一樹,ワダ,カズキ,男,019433459,kazuki_wada@goho.izt,020-0825,岩手県,盛岡市,高崩,4-4-13,高崩ダイヤモンド118,2008-10-22,9,A,5194
277,生田,幸恵,イクタ,ユキエ,女,0195009857,eikuta@mcbcret.invhk.qm,020-0841,岩手県,盛岡市,羽場,1-19-2,,2003-09-02,14,A,1573
278,平,遙,タイラ,ハルカ,女,0199886019,haruka22630@khke.albl.rct,028-1311,岩手県,下閉伊郡山田町,大沢,1-10,,1991-09-24,26,B,4336
279,伊沢,理子,イザワ,リコ,女,0194653560,riko1396@mizdguoj.aqd,023-0402,岩手県,奥州市,胆沢区小山,3-20-12,ザ胆沢区小山218,2016-04-24,2,A,9062
280,川端,慶一,カワバタ,ケイイチ,男,0193409906,keiichikawabata@ewqmg.lax,028-3536,岩手県,紫波郡紫波町,北田,2-7-19,,1995-05-31,23,A,5379
281,奥野,莉紗,オクノ,リサ,女,0195367441,risa228@eapq.txl,027-0023,岩手県,宮古市,磯鶏沖,1-1-4,,1995-06-24,22,A,193
282,高嶋,百恵,タカシマ,モモエ,女,0191198964,momoe410@tbgmbzw.yxot.xt,028-8401,岩手県,下閉伊郡田野畑村,三沢,4-7,ステーション三沢419,2000-12-26,17,B,2276
283,河井,貞二,カワイ,テイジ,男,0192029084,teiji8929@uhmzft.jxl,029-4205,岩手県,奥州市,前沢区うるし野,2-9-1,,2008-02-14,10,AB,562
284,大沼,和幸,オオヌマ,カズユキ,男,0193442727,ioonuma@czvja.zw.gq,029-4497,岩手県,奥州市,衣川区餅転,1-2-8,衣川区餅転プレシャス215,2003-02-03,15,O,6348
285,松永,修一,マツナガ,シュウイチ,男,0196217705,imatsunaga@zopcrgfe.asrbn.wl,025-0304,岩手県,花巻市,湯本,1-9,,2014-05-19,4,O,5466
286,立川,清子,タチカワ,キヨコ,女,0192017926,otachikawa@iuuxbehxse.nf,029-0803,岩手県,一関市,千厩町千厩,4-8-8,,1992-06-12,26,A,5574
287,安西,博一,アンザイ,ヒロカズ,男,0198931452,hirokazu487@eoymniv.xmi.yts,028-6927,岩手県,二戸市,浄法寺町湯沢,3-2-18,レジデンス浄法寺町湯沢119,2013-04-19,5,A,7471
288,高崎,敏昭,タカサキ,トシアキ,男,0196747095,toshiaki02403@mpxjey.rq,027-0377,岩手県,宮古市,田老重津部北,3-2,,2017-09-22,0,A,207
289,神田,信義,カンダ,ノブヨシ,男,0194738742,Nobuyoshi_Kanda@mnoiotri.bf,023-1102,岩手県,奥州市,江刺区八日町,4-18-6,江刺区八日町スカイ413,2010-11-22,7,A,6690
290,大森,利平,オオモリ,リヘイ,男,0198824858,rihei_oomori@qfbiwz.prv,028-6819,岩手県,二戸市,浄法寺町馬洗場,2-9,,2005-04-09,13,O,8591
291,須田,裕子,スダ,ヒロコ,女,0194004328,hiroko_suda@kokiblfdu.qk.lq,029-5619,岩手県,和賀郡西和賀町,沢内弁天,4-11-15,,2010-11-22,7,O,3980
292,稲垣,正彦,イナガキ,マサヒコ,男,0196130647,masahiko_inagaki@uxfmvlkn.pru,028-3453,岩手県,紫波郡紫波町,土舘,4-4-4,,1993-06-19,24,AB,7261
